__id	__seed	記録の扱い	タイトル	種類	領域	一言要約	タグ	頻度	最終実施日	何をしたか	いつ・どこで	自分の役割	関係者	結果・変化	証拠・具体例	紐づくID	期限	裁量	関係者の広さ	不確実性	条件タグ	好き度	消耗度	扱える範囲	数字・データ	言葉・文脈	人・利害	現場運用	制作・表現	技術・仕組み	振り返りメモ	反証・うまくいかなかった条件	次に試すこと	面接での利用	一言で言うと	再現できる条件	他社でも通じる言い換え	応募先・用途タグ
	work-community-events	事実	地域イベントの年間日程を、クラブ施策の検討材料として整理する	実例	仕事	水かけ祭りや区民イベントなど、地域の予定を一覧化し、クラブの参加・連携の判断に使う。	地域連携 | イベント | 年間計画 | ホームタウン	繰り返し		2026年7月〜11月の地域イベント日程を整理し、水かけ祭り、南区、桜区、緑区・美園、中央区、浦和区の機会を把握した	2026年6月	情報整理・企画検討	地域団体、自治体、社内関係者	地域連携の候補を、日程とエリアの観点で比較できる状態にした	地域イベント日程メモ		余裕あり	高い	社外含む	例外あり	裁量あり | 目的が明確 | 関係者が多い	4	2	3	1	2	3	2	1	0	単発参加ではなく、地域・季節・クラブ側の目的を重ねると連携の筋が出る。	日程一覧だけでは、地域にとっての意味や運営負荷が見えない。	各イベントに『地域側の目的・クラブ側の価値・必要資源』を追記する。	候補	地域の予定とクラブの目的を重ね、連携機会を設計する。	地域側の関心とクラブの役割を確認できるとき	地域連携・コミュニティマーケティング	社会連携 | 地域
	work-what-can-i-do	事実	『What Can I Do?』の宣言を、会見・映像・社内浸透までつなげる	実例	仕事	新社長・SDの概念宣言を、メディア会見、試合前映像、SNS、社内へ一貫して伝える準備をする。	理念浸透 | 会見 | 映像 | 社内コミュニケーション	単発		2026年7月5日に向け、新社長とSDの概念宣言について、会見台本、Q&A、宣言文投影、試合前映像の運用条件、SNS体制、社内浸透を整理した	2026年6〜7月の準備	広報設計・進行	社長、SD、監督、広報、制作、メディア、社内各部署	言葉だけの宣言にせず、発信と運用の接点を設計した	"会見台本
宣言文投影案
Ask / Act / Proveの整理
試合前映像Mode A/B/Cの運用メモ"		短納期	中程度	社外含む	前例なし	目的が明確 | 判断期限あり | 関係者が多い | 文章化が必要 | 前例なし	5	3	4	0	3	3	2	2	1	理念は文章の出来だけでなく、誰がどの場面で判断に使うかまで設計して初めて浸透に近づく。	勝敗や現場の空気と切り離して発信すると、宣言が形式だけに見える。	宣言内容を、日常業務での具体的な判断例へ変換する。	使う	抽象的な理念を、会見・映像・SNS・社内運用で使える言葉と判断に落とす。	組織の意志を、複数チャネルで一貫して伝える必要がある案件	ブランドストーリー設計・組織コミュニケーション	PARK | inquire | ブランディング
	work-matchday-video-conditions	事実	試合前映像の出し分けを、勝敗や内容に応じた運用ルールにする	実例	仕事	映像表現を固定せず、未勝利時も含めた出し分けと判断者をあらかじめ定める。	映像 | 運用設計 | 試合日 | 判断基準	単発		試合前映像をMode A/B/Cに分け、未勝利時の扱い、判断者、復帰条件を事前に整理した	2026年7月の宣言浸透設計	運用設計・広報	広報責任者、監督、SD、制作、SNS担当	表現の方向性を、現場で迷わない判断ルールにした	"Mode A/B/C運用メモ
判断者・復帰条件の整理"		期限あり	中程度	複数部署	前例なし	判断期限あり | 前例なし | 現場運用あり | 関係者が多い	4	2	4	0	3	2	3	2	1	『良い表現』を作るだけでなく、良くない状況でもどう使うかを決めると運用が強くなる。	判断者が多すぎると、試合直前に意思決定が遅れる。	判断に必要な情報と連絡導線を、試合日の時系列に置く。	候補	表現を現場で迷わず使える、条件付きの運用ルールに変える。	状況変化に応じて発信を切り替える必要がある案件	コンテンツ運用設計・危機時コミュニケーション	PR | コンテンツ
	work-school-invitation-2627	事実	県内小学生2,627人招待を、告知・申込・KVまで設計する	実例	仕事	県内小学生招待の対象・日程・申込期間・KV要件を、一貫した募集導線にする。	招待施策 | 小学生 | KV | 申込導線	単発		2026年8月1日のRB大宮戦に向け、埼玉県内小学生2,627人招待、申込期間、会場、KVの必須要素を整理した	2026年6〜7月の準備	企画・告知・制作進行	学校・保護者、制作、チケット、会場運営	『2,627人ご招待』を主役にした募集導線とKV要件を作成した	"対象：埼玉県内小学生2,627人
申込：7月2日10:00〜7月15日23:59
KV要件：マスコット・右側写真素材風・3階層タイポ"		短納期	中程度	社外含む	定型	目的が明確 | 判断期限あり | 文章化が必要 | 現場運用あり	5	2	4	2	3	2	2	3	1	招待人数を単なる数字にせず、対象者が『自分ごと』にできる募集体験へ変える。	保護者が判断する施策では、子ども向けの見た目だけでは申込の不安が残る。	子ども向けの魅力と保護者向けの安心情報を分けて設計する。	使う	招待人数・対象者・KV・申込導線をつなげ、参加を具体的な行動へ変える。	対象者と申込障壁が明確な集客案件	キャンペーン設計・ファミリーマーケティング	ファミリー | キャンペーン
	work-rex-fanmeeting	事実	REX限定の選手ファンミーティングを設計する	実例	仕事	節目となる選手の記録と会員価値をつなげ、限定イベントの対象・体験・運用を考える。	ファンクラブ | REX | 会員施策 | イベント	単発		西川周作600試合に合わせ、REX限定『SHUSAKU FAN MEETING』を検討・準備した	2026年8月に向けた準備	会員施策・企画	ファンクラブ、選手、運営、会員	選手の節目を会員接点に変える企画を扱った	"REX限定イベント企画メモ
西川周作600試合の節目"		期限あり	中程度	複数部署	例外あり	目的が明確 | 現場運用あり | 関係者が多い	5	2	3	1	3	3	2	2	0	記録の大きさと会員が得る特別感を、同じ体験の中で見せる。	限定性だけを強めると、参加できない会員への説明が弱くなる。	参加者・非参加者の両方に残るコンテンツ導線を考える。	候補	選手の節目を、会員の帰属意識につながる体験へ変える。	既存ファンとの関係を深める施策	CRM・会員エンゲージメント	ファンベース | CRM
	work-rex-parent-child	事実	親子向けREXイベントを、人数・選手・導線まで運用設計する	実例	仕事	練習後の親子イベントを、少人数枠・選手参加・当日動線を含めて準備する。	親子 | REX | イベント運営 | ファミリー	単発		2026年8月の親子イベントについて、各回10組×2、選手3〜5名×2という枠と運用を整理した	2026年8月に向けた準備	企画・当日運用設計	会員、親子、選手、運営	小規模イベントの参加条件と当日運用を具体化した	"親子イベント枠：各回10組×2
選手参加：3〜5名×2"		期限あり	中程度	複数部署	例外あり	現場運用あり | 関係者が多い | 目的が明確	4	3	3	1	2	3	3	1	0	少人数イベントは『枠数』より、受付・待機・選手との接点の密度が満足度を左右する。	選手スケジュールが変動すると、参加体験の設計が崩れやすい。	選手人数が変わっても成立する代替プログラムを準備する。	候補	少人数イベントを、参加者の体験と現場運用の両方から設計する。	対象人数と当日の制約が把握できるイベント	イベントオペレーション・顧客体験設計	イベント | ファミリー
	work-transfer-release	事実	選手移籍リリースを、正確さとクラブ文脈を両立して整える	実例	仕事	年齢・経歴・出場記録・コメントなどを確認し、公式発表として整える。	リリース | 選手移籍 | 校正 | メディア対応	繰り返し		石原広教選手の完全移籍発表に際し、リリース原稿の事実確認・構成・表現を扱った	2026年6月	広報・原稿確認	選手、強化、広報、メディア、ファン	公式発表で必要な正確性と読みやすさを両立する作業を行った	"移籍発表原稿
選手プロフィール・出場記録"		短納期	中程度	複数部署	定型	文章化が必要 | 判断期限あり | 目的が明確	4	2	4	1	3	2	1	1	0	定型の中でも、誤記の防止と、読者が知りたい順番を両方見る。	一次情報の確認が遅れると、表現調整以前に発表の精度が担保できない。	移籍リリース用の確認チェックリストを更新する。	使う	公式発表に必要な正確性と、受け手が理解しやすい構成を両立する。	事実確認の担当と締切が明確な発信	コーポレートコミュニケーション・編集	PR | 広報
	work-crisis-releases	事実	センシティブな事案のリリースを、事実・対応・再発防止に分けて伝える	実例	仕事	中指行為、横断幕ルール違反、駐車場冠水による中止等の発信を扱い、表現と必要情報を整理する。	危機対応 | お知らせ | ルール | 謝罪 | 運用改善	繰り返し		中指行為の第1報・第2報、横断幕ルール違反、駐車場冠水中止等のリリース文面を扱った	2026年6月を含む継続実務	広報・文面整理	クラブ、運営、関係者、来場者、メディア、ファン	事実、来場者に必要な行動、クラブの対応を分けて発信する実務を積んだ	"該当リリース原稿
問い合わせ・運用メモ"		当日対応	中程度	社外含む	例外あり	判断期限あり | 文章化が必要 | 現場運用あり | 関係者が多い	2	5	4	1	3	3	3	0	0	感情的な評価を足さず、事実・対応・来場者が今取る行動を分けると、文面の役割が明確になる。	事実確認が不十分な段階で断定すると、訂正や不信につながる。	緊急発信の初報／続報のテンプレートと確認フローを整理する。	使う	センシティブな状況でも、必要な事実と行動を誤解なく伝える。	事実確認と最終判断の導線が確保できる状況	危機管理広報・リスクコミュニケーション	PR | 危機対応
	work-media-comment-response	事実	記者からのコメント依頼に、想定別の素材を用意して返す	実例	仕事	試合結果が未確定の取材依頼に対し、活躍して勝利／活躍して敗戦／ミスを含む敗戦などの条件別にコメントを準備する。	メディア対応 | コメント | シナリオ | 広報	繰り返し		彩艶選手に関する観戦コメント依頼に対し、試合展開別のコメント案を検討した	2026年6月	広報・取材対応	新聞社、広報、試合関係者	試合後の短時間でも事実に沿って返せる準備を行った	"埼玉新聞からのコメント依頼
条件別コメント案"		当日対応	中程度	社外含む	前例なし	判断期限あり | 文章化が必要 | 現場運用あり	3	4	4	0	3	3	2	1	0	予測ではなく、起こりうる条件ごとに『事実が確認できたら使える表現』を置く。	事前案をそのまま使うと、試合の実態とずれる危険がある。	試合後に確認すべき事実項目をコメント案の横に置く。	候補	不確実な状況でも、事実に沿った取材対応を短時間で組み立てる。	事実確認と発信期限が近い案件	メディアリレーションズ・シナリオプランニング	PR | メディア
	work-steward-feature	事実	現場スタッフの役割を、具体的な行動から記事にする	実例	仕事	スチュワードの業務を、座席誘導・落とし物・車椅子・迷子・ベビーカー・外国語対応などの具体から伝える。	オウンドメディア | 取材 | スチュワード | ストーリー	単発		毎日新聞『レッズ通信』で、スチュワードの活動人数、研修、活動時間、歴史、具体業務を整理した	2026年	広報・取材整理	スチュワード、メディア、来場者、クラブ	裏方の役割を、抽象的な称賛ではなく具体的な価値として伝える材料を整理した	"最大約200人・通常100〜150人
1995年駒場からの活動
試合4時間前集合〜終了1時間後"		期限あり	中程度	社外含む	定型	文章化が必要 | 目的が明確 | 関係者が多い	5	2	4	1	3	3	2	2	0	『先進的』と抽象化せず、具体的に誰の困りごとをどう減らしているかで書く。	情報だけを並べると、人が働く温かみや現場感が消える。	活動の一場面を起点に、役割の全体像へ広げる構成を試す。	使う	現場の具体を拾い、組織や人の役割を伝わるストーリーに変える。	現場の一次情報にアクセスできる取材・編集案件	オウンドメディア編集・ストーリーテリング	編集 | PR | コンテンツ
	work-ito-atsuki-feature	事実	選手個人の話を、地域・クラブ史・現在地と接続して編集する	実例	仕事	個人のコメントを、浦和の歴史・地域性・クラブとの関わりに接続しつつ、主観と客観のバランスを考える。	選手インタビュー | 編集 | 地域性 | ストーリー	単発		伊藤敦樹選手を扱う記事について、浦和の歴史・地域性・クラブとの関与をどう入れるか検討した	2026年	広報・編集	選手、メディア、ファン、クラブ	単なる人物紹介にせず、クラブとの関係性が伝わる構成を考えた	"記事構成メモ
編集上の論点"		期限あり	中程度	複数部署	例外あり	文章化が必要 | 目的が明確 | 関係者が多い	5	2	4	0	3	3	1	3	0	個人を主役にしながら、背景は説明ではなく本人の言葉や行動に接続する。	地域性を強く入れすぎると、選手本人の固有性が薄くなる。	人物・背景・現在の挑戦の比重をラフ段階で可視化する。	候補	個人の物語を、組織や地域の文脈と自然につなげて編集する。	人物の一次情報と背景資料の両方があるとき	エディトリアルディレクション・ブランドストーリー	編集 | ブランディング
	work-sponsor-community	事実	スポンサー・地域・社会連携を、露出ではなく関係設計として考える	能力・知識	仕事	パートナー施策、地域連携、社会的価値を、クラブ・相手・ファンの三者にとっての意味で考える。	スポンサー | 社会連携 | 地域 | パートナーシップ	繰り返し		スポンサー／パートナー施策、地域連携、スポーツ×社会的価値に関わる企画・調整を継続している	継続実務	広報・プロモーション	パートナー、自治体、地域、ファン、クラブ	単発露出に閉じない連携の考え方を持つ	"社外MTGメモ
地域イベント企画
スポンサー調査メモ"		期限あり	中程度	社外含む	例外あり	関係者が多い | 利害が衝突 | 文章化が必要	4	3	3	1	3	3	2	2	0	相手の目的、クラブの目的、ファン・地域の受け取り方が重なる場所を探す。	社会的な言葉を使うだけでは、現場の実態や相手の利益と乖離する。	施策ごとに『誰のどんな変化を目指すか』を事前に一文で置く。	候補	パートナー・地域・ファンそれぞれの目的を重ね、関係が残る施策を考える。	複数主体の価値を明確にできる案件	パートナーシップ設計・社会連携	社会連携 | 地域 | スポンサー
	work-ad-timing	事実	広告の役割を、新規層と既存ファンで分けて考える	能力・知識	仕事	通年予算の制約下で、開幕・Go Go Redsデー・鹿島戦などの山に投下し、目的別に媒体・時期を考える。	広告 | OOH | 新規層 | 既存ファン | 予算配分	繰り返し		広告予算が大幅に減る前提で、開幕、10〜12月のGo Go Redsデー、2月鹿島戦の3山を軸に、既存ファンと新規層の出稿タイミングを整理した	2026年6月	プロモーション・広告設計	広告会社、社内、制作	限られた予算のなかで、目的別の出稿判断を検討した	"広告体制メモ
OOH・シネアドの検討資料"		期限あり	中程度	社外含む	例外あり	数字が見える | 目的が明確 | 判断期限あり	4	2	3	3	2	2	1	1	1	『誰に、いつ、何のために見せるか』を分けると、掲出時期の議論が進む。	媒体の露出だけで新規層への効果を判断すると、導線や受け皿が抜ける。	施策ごとに認知・検討・購入・来場のどこを動かすかを明示する。	候補	限られた予算で、対象者と購買段階に合わせて広告の役割を設計する。	媒体・予算・販売導線を一緒に見られる案件	メディアプランニング・ファネル設計	広告 | マーケティング
	work-schedule-spec-management	事実	制作物のサイズ・納期・入稿形式を、進行表として一元化する	能力・知識	仕事	縦横リサイズ、納期、備考、PDF形式、トンボ、余白、ロゴなどの細部を一つの進行表で管理する。	進行表 | 入稿 | 制作管理 | 例外処理	繰り返し		複数の告知物について、リサイズ、縦横、納期、備考、トンボなしPDF、上部3cm、パートナーロゴ等の条件を進行表で扱った	継続実務	制作進行・確認	制作チーム、社内依頼者、媒体社	細かい仕様の抜け漏れを減らすための管理方法を持つ	"進行表
入稿ガイドライン
制作依頼書"		短納期	高い	複数部署	例外あり	判断期限あり | 現場運用あり | 文章化が必要	3	3	4	1	1	2	3	1	1	見栄えより先に、仕様・決裁・納期が一目で追えるようにする。	備考欄に情報を詰め込みすぎると、重要度が見えなくなる。	必須・確認中・任意の3階層で進行表を整理する。	使う	複数制作物の仕様・納期・確認者を整理し、手戻りを減らす。	制作物が多く、例外条件が発生しやすい案件	プロダクションマネジメント・制作進行	Producer | PM
	work-presentation-brief	事実	資料・依頼文を、初見の人が動ける構造に整える	能力・知識	仕事	背景、目的、対象、依頼事項、判断期限、例外を分け、相手が何をすべきかを読める資料にする。	資料作成 | 依頼文 | 合意形成 | PowerPoint	繰り返し		企画資料、制作依頼、社内説明、注意書き等で、初見の相手にも通じる構造を重視している	継続	起案・編集	社内外の関係者	説明の往復や認識差を減らす形に整える	"PowerPoint企画書
制作依頼書
社内説明文
FAQ・注意書き"		期限あり	高い	社外含む	例外あり	文章化が必要 | 関係者が多い | 判断期限あり	5	2	4	1	3	3	2	2	1	相手の前提が異なるほど、最初に『なぜ今これをするか』を置く。	情報を丁寧にしすぎると、決めるべきことが埋もれる。	資料ごとに『読み終わった相手にしてほしい行動』を一行で確認する。	使う	背景から判断・実行まで、初見の相手が動ける資料と依頼文をつくる。	関係者の前提がそろっていない案件	コミュニケーションデザイン・ドキュメント設計	PARK | PM | Producer
	work-media-response	事実	メディア取材・問い合わせを、相手の用途に合わせて整理する	能力・知識	仕事	取材意図、締切、文字数、公開条件、必要な確認を把握し、広報として返答をつくる。	メディア対応 | 取材 | 広報 | 問い合わせ	繰り返し		新聞・Web・各種メディアからの問い合わせ、コメント依頼、取材企画に対応している	継続実務	広報窓口・原稿調整	記者、編集者、選手、社内関係者	相手が必要とする形式とクラブ側の確認を両立する経験を持つ	"取材依頼メール
回答文
公開記事"		短納期	中程度	社外含む	例外あり	文章化が必要 | 判断期限あり | 関係者が多い	4	3	4	0	3	3	2	1	0	取材の目的・読者・締切を先に押さえると、回答内容の過不足を減らせる。	相手の意図を推測だけで決めると、回答がずれる。	依頼受領時の確認項目をテンプレート化する。	使う	取材意図と確認要件を整理し、相手に使われる形で正確に返す。	取材目的と締切が確認できるとき	メディアリレーションズ	PR | 広報
